"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13960","13392","12979","12259","12214","12136","11817","11862","11548","11149","10711","10540",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"128059","122339","114005","107704","103009","101061","96741","94479","88516","83668","77404","70591",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16342","15966","15270","14394","13517","13339","12905","13118","12639","11845","11081","10482",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7244","7124","6837","6455","6356","6101","5934","5541","5180","4816","4582","4373",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3119","3011","2867","2725","2654","2548","2436","2312","2287","2103","2018","1963",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1909","1911","1838","1869","1890","1830","1717","1740","1677","1592","1445","1254",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"62647","59657","56368","53036","52072","51086","50432","49837","48053","45883","44093","41283",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41058","39443","37585","35012","34417","34145","33126","32453","31817","30158","29199","27599",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4679","4590","4390","4472","4475","4222","4188","3875","3799","3529","3415","3117",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7548","7280","6774","6333","6109","6285","5859","6144","5733","5574","5388","5100",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"40055","38420","36336","34269","32638","32063","31251","30975","30279","27928","26618","24505",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25642","25066","23995","22518","22244","22482","22385","22039","21389","20237","19589","19316",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10545","10118","9765","9322","8905","9070","8954","8846","8388","8167","7520","7226",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11639","11552","11234","10832","10273","10233","9582","9347","9264","8696","7999","7844",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17977","17496","17208","16514","16185","16440","16224","16161","15756","14835","14468","14142",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21775","20934","20437","19191","18689","18832","18878","18584","18208","16888","15994","15163",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3627","3503","3430","3237","3121","2984","2921","2791","2642","2516","2354","2285",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16386","16246","15670","14615","14143","13639","13193","12917","12422","11551","11022","10256",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12605","12485","12060","11303","11141","10871","9952","9616","9105","8539","8006","7540",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"30225","29306","28447","27787","27893","27690","27628","27144","25747","24352","22740","21616",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15574","14886","14125","12830","12230","12218","11745","11466","10848","10317","9746","9138",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15535","14958","14052","12859","13119","12656","12483","12613","12078","11473","11078","10777",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23517","22696","21955","20568","20199","19890","19430","19041","18477","17596","16640","16400",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3488","3460","3305","3137","3210","3081","3168","2928","2867","2707","2524","2410",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6916","6653","6452","6157","5801","5676","5647","5571","5345","5034","4912","4585",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10666","9929","9308","8607","8412","8434","8387","8426","8434","8053","7854","7611",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2825","2782","2742","2638","2562","2323","2246","2185","1997","1898","1808","1699",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19831","19053","18568","17773","17353","16827","15913","15420","14728","14124","13381","12890",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9330","9279","8625","8205","7895","7883","7681","7431","7157","6527","6054","5641",,
