"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1834","1944","1856","1848","1722","1737","1675",
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13531","13479","13799","13019","13326","13466",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5371","5369","5530","5356","5291","5265",
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"84144","83374","81477","81920","83468","86271","88687","94046","92888","94066","94168","92001","91537",
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14538","14523","14337","14291","14755","15050","15323","15680","16026","16426","15743","15574","15825",
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8460","8226","8200","8101",
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2028","1975","1850","1970","1848","1830","1907","1882","2043","2056","1944","1959","2009",
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1229","1252","1387","1440","1537","1504","1672","1590","1550","1596",
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"35883","34958","33531","34561","35147","35354","35943","36791","38968","39955","40002","41416","42240",
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22819","22324","22330","22535","22823","23514","24848","26374","26734","27994","26669","26902",
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3783","3914","3895","3800","3889","3803",
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4002","4348","4256","4248","4258","4427","4453","4696","4642","4677","4669","4673","4891",
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33032","33333","33151","33276","34144","34369","34404","33544","33058","32326",
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14985","14983","14916","14894","15417","15291","15321","15719","15753","16270","16043","16128","16257",
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8629","8466","8782","8912","8927","9074","9206","9483","9478","9449","9119","9062","9161",
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8125","7937","7876","8348","8353","8554","8397","8699","8928","8547","8172","8249","8008",
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7855","7929","7925","7733","7909","8114","7954","8368","8381","8549","8371","8173","8226",
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9276","9235","9546","10189","10281","10422","9881","9747","9556",
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2778","2818","2818","2777","2799","2763",
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14569","14752","14982","14923","15713","15635","15757","15527","15476","15072",
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16986","17175","17276","17247","17537","17254","17385","17482",
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20625","19987","19700","19819","19601","19943","21220","21425","21964","22200","22410","22331",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17868","18055","18533","18631","18737","18524","18724","18386",
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4990","5193","5124","5174","5092","5080","5020",
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13888","13954","13762","14040","14142","14394","14391","14179","14256","14236",
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2426","2412","2439","2446","2481","2454","2521","2572","2565","2514","2512","2361",
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5792","5644","5794","5806","5888","6114","6091","6275","6423","6504","6143","6317","6106",
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4471","4499","4406","4732","4779","4953","5012","4849","5096","5070",
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2953","2907","2942","2862","3034","2932","3075","3074","3108","3017","3169","3126","3141",
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26605","26826","26829","26943",
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2720","2965","3059","3100","3077","3056","3158","3036","3245","3105","3182","3085",
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19888","40565","41054","40810","41566","42487","42664","44189","44940","46756","46142","46108","46163",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22199","21961","22378","22878","23105","24234","23506","24110","23941",
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2164","2145","2220","2338","2422","2615","2770","2883","2840","2984","2810","2793","2676",
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25027","24597","23648","23316","23575","23750","24192","25217","25568","26048","26013","26081","26014",
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7629","8049","7975","8317","8609","8741","8742","8381","8324","7909",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7920","7935","7847","7961","8196","8306","8449","8684","9028","8799","8685","8581",
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"28514","28521","28402","28087","28201","28098","28295","29004","29462","30011","29284","29163","28933",
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2050","2101","2286","2270","2226",
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8090","8527","8370","8470","8970","9058","9303","9797","9886","10404","10329","10514","10710",
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2479","2465","2526","2527","2571","2677","2734","2766","2749","2861","2761","2796","2722",
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12132","12223","12098","11971","12427","12692","12913","13470","13695","13887","14338","14393","14637",
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"56928","57438","58081","58890","60097","62607","63666","67875","70310","71613","69377","70725","70820",
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11791","11908","12394","12663","12719","13033","13288","13418","13104","12978","13140",
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1489","1401","1398","1497","1454","1394","1427","1502","1474","1422","1435","1341","1349",
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22942","23524","23815","23104","22427","22572","22222",
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15781","16149","16197","16448","16803","17323","17697","17871","18442","19374","18820","18824","18544",
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2841","2806","2713","2592","2525","2619",
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14597","14754","14936","15178","15556","15927","15763","15717","15756",
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1065","1114","1222","1170","1249","1304","1336","1404","1392","1380","1296","1175","1211",
"        Doctorate or professional degree (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"37893","47290","49623","61787","67799","77852","83677","92973","94869","102359","102396","104084","104362",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016","1034","998","1139","1101","1056",
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183","176","187","187","185","209","221",
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1465","1476","1534","1594","1575","1556",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"544","511","534","495","579","549",
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11568","11423","11601","11839","11591","12503","12766","13294","13585","13783","13703","13912","14070",
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1382","1520","1548","1614","1590","1732","1762","1874","1901","2011","2022","2050","2105",
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1414","1444","1456","1508",
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"335","278","250","253","259","264","236","288","272","296","238","253","286",
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"735","763","900","912","984","1002","1065","1014","1070","1040",
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3065","3172","3216","3245","3451","3635","3713","4185","4405","4537","4656","4887","5226",
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1587","1495","1804","1840","1908","1889","2193","2203","2133","2145","2114","2145",
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226","241","216","249","248","246",
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"218","234","234","244","234","252","245","300","309","293","318","300","308",
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4066","4179","4355","4440","4674","4589","4645","4539","4588","4567",
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1134","1155","1173","1281","1273","1392","1372","1481","1506","1532","1504","1601","1577",
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"704","773","793","847","902","964","981","975","1049","1045","1075","1047","1071",
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"599","559","634","747","732","811","808","884","857","920","874","886","907",
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"851","802","863","897","944","987","987","1020","1145","1217","1120","1141","1094",
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"920","972","1022","1088","1151","1172","1172","1196","1186",
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"341","319","379","359","368","387",
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2794","2912","3024","3070","3312","3218","3278","3243","3202","3103",
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3930","4207","4112","4022","3988","3890","4068","4135",
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1751","1808","1878","2054","2140","2322","2532","2570","2705","2681","2836","2786",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1935","2065","2201","2266","2218","2332","2243","2336",
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"516","599","607","576","631","580","628",
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1431","1494","1516","1577","1659","1687","1783","1701","1722","1837",
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156","171","207","207","194","242","232","245","246","313","271","286",
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"495","540","551","567","659","645","670","781","771","789","749","799","779",
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"404","445","461","444","435","454","485","479","525","529",
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"276","245","261","295","281","351","334","319","350","376","392","399","371",
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3547","3464","3569","3691",
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"336","362","425","424","488","456","455","497","511","513","536","510",
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2455","6671","6911","7111","7236","7510","7548","7908","8010","8187","8113","8428","8178",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2451","2574","2608","2763","2847","2942","3017","3018","3117",
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"137","176","155","217","197","202","279","306","280","288","303","346","293",
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2446","2474","2544","2707","2714","2874","3070","3226","3187","3361","3387","3537","3415",
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599","710","740","771","807","886","832","810","828","848",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"916","1032","971","1019","1077","1126","1212","1311","1397","1367","1390","1373",
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3327","3403","3653","3805","3792","3989","3971","4128","4270","4368","4521","4481","4505",
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"334","333","407","350","362",
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"716","787","790","828","908","956","1072","1113","1194","1249","1228","1242","1268",
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"170","185","179","222","235","263","285","287","310","293","277","321","309",
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1210","1268","1288","1388","1460","1526","1543","1718","1752","1799","1856","1886","1792",
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4768","4886","5373","5620","5762","6318","6577","7172","7367","7805","7731","7873","7884",
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"611","521","510","596","568","635","610","653","648","616","630",
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"159","132","150","170","185","181","195","193","192","207","211","214","207",
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3014","3420","3399","3488","3469","3460","3319",
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1790","1782","1846","1956","1960","2157","2119","2332","2382","2467","2627","2540","2516",
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"392","388","388","407","386","374",
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1412","1424","1579","1603","1588","1750","1673","1704","1730",
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"88","79","131","99","94","106","133","113","133","139","111","133","146",
"        Excluded (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016019","1499392","1403314","943502","685656","540405","383656","150413","138873",,,"48987","54127",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"64804","64546","62475","60050","59354","58448","58167","0","0",,,"112","98",
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11052","11442","11324","11471","11456","11187","0","0","0",,,"139","169",
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"102981","99442","92798","87477","85543","86441","85600","0","0",,,"364","338",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41378","40669","39808","38540","38715","38347","37832","0","0",,,"297","277",
"                California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41660","40399","38896","37708","37281","36539","36085","36285","35746",,,"67","66",
"                Delaware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8864","9130","9040","0","0","0","0","0","0",,,"96","96",
"                Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"151137","0","0","0","0","0","0","0","0",,,"576","697",
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19134","19484","18887","18988","18956","18980","18987","0","0",,,"117","153",
"                Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"180836","176795","171163","0","0","0","0","0","0",,,"2240","1786",
"                Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Kansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"66301","65268","64973","62379","0","0","0","0","0",,,"369","363",
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14120","13609","13470","12970","12704","12798","12776","0","0",,,"18","31",
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"78095","77289","75059","0","0","0","0","0","0",,,"414","451",
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"77967","77022","75016","72865","73166","0","0","0","0",,,"1627","1815",
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"125261","0","0","0","0","0","0","0","0",,,"1060","1088",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"73735","72421","70646","68610","68409","0","0","0","0",,,"389","321",
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"46491","44947","42901","40036","39860","38669","0","0","0",,,"97","100",
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"81930","80963","78905","0","0","0","0","0","0",,,"241","231",
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12439","0","0","0","0","0","0","0","0",,,"42","22",
"                Nebraska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41181","39506","37612","0","0","0","0","0","0",,,"743","1123",
"                New Hampshire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"116063","112710","110331","106922","105883","104230","102575","103305","103127",,,"618","683",
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"30616","0","0","0","0","0","0","0","0",,,"57","54",
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"123326","0","0","0","0","0","0","0","0",,,"1342","1557",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"131037","130839","126845","122350","0","0","0","0","0",,,"389","428",
"                North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"55065","54781","54553","0","0","0","0","0","0",,,"107","153",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49378","0","0","0","0","0","0","0","0",,,"248","248",
"                Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12376","12048","11442","11177","10960","10926","10809","10823","0",,,"577","412",
"                South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                South Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"55130","55634","0","0","0","0","0","0","0",,,"1292","1567",
"                Vermont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"108884","106686","105059","103002","102652","103013","0","0","0",,,"1222","1473",
"                Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21994","21501","21268","20470","20717","20827","20825","0","0",,,"98","36",
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"72784","72261","70843","68487","0","0","0","0","0",,,"384","430",
"                Wyoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        High school graduate or GED (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"607280","726797","708634","770569","814044","835743","874363","953831","953989","979820","973025","966898","965810",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18187","18284","18061","18365","18306",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3217","3337","3341","3346","3097","3021",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22190","21544","21291","21492","21303","21293",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12141","12750","12394","12520","11959",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"149092","144239","135220","128360","124326","123653","121856","121706","119952","117402","112979","108536",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14543","14315","14060","13254","12880","12889","12930","13366","13311","13208","12697","12506",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6688","6390","6587","6437",
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2876","2949","2829","2791","2819","2773","2675","2619","2885","2959","2916","2824",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1995","1991","1930","1964","1997","2033","2215","2065","2035",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"74240","71767","69463","68137","66455","65884","65970","68344","69751","69527","69578","67627",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42762","39864","38764","38632","38210","37992","37296","37531","38270","39389","39741",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3570","3472","3457","3124","2907",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6351","6270","5991","5892","5582","5856","5593","5874","5803","5783","5581","5430","5503",
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36324","34207","33527","33397","34240","33743","32925","32690","32953",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25562","25184","23973","22182","22270","21894","22049","22998","23141","22764","23165","23558",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8720","8370","7978","7687","7387","7458","7655","7812","8530","9447","9406","9172",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9735","9919","9700","9452","9344","9173","8819","9074","8926","8625","8695","8832",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16834","16355","15771","14920","14747","14842","15335","15636","15416","15424","15683","15922",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18203","18806","19058","20169","20471","19923","19503","19315",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3623","3630","3531","3329","3303",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15805","14979","14918","14563","14595","14948","14657","14434","14188",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12949","11967","11452","11041","11189","11055","10954",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32143","31034","30034","29442","28797","28282","28603","28255","28259","28028","27793","27980",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11708","11643","11445","11618","11557","11513","11329",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10959","10828","10908","10724","10687","10859",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18373","18077","17871","17722","18087","18000","17983","18136","18489",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3950","3806","3577","3536","3490","3802","3694","3759","3473","3147","3138",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5429","5373","5391","4902","4886","4819","4759","5216","5070","4942","4942","4890",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10077","9795","9684","10056","10694","10644","11039","11290","11699",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3189","3091","3040","3057","2980","2768","2813","2719","2642","2615","2573","2514",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23672","23473","23898",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9641","8800","7582","7293","7240","6743","6364","6420","5915","5812","5609",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"27241","56744","56079","54038","52903","52289","51124","51582","51737","51918","51786","51751","50701",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27014","26854","26601","27211","27319","27443","28252","28321",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1762","1727","1692","1700","1834","1992","2053","2269","2241","2214","2099","2160",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"40684","39368","37143","34109","33206","33382","33972","34748","34973","36228","37301","37813",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15113","14466","14732","14963","15136","15154","15319","14775","15069","15440",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12152","11367","10533","10481","10110","10053","10135","9998","9901","9893","9483",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"39928","39141","37621","36167","35795","35361","35302","35345","35182","34598","34606","34084",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2041","2035","2265","2132",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15742","15625","14997","14061","13859","13502","13422","13657","13733","13535","13793","14085",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3299","3128","3039","2945","2864","2883","2914","2998","3021","3028","2944","2901",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25240","25161","23640","22590","22397","22854","22589","23377","22956","22621","22746","22780","22554",
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"112301","112309","111207","102836","99223","101667","102917","106337","107179","106705","105131","105680",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10385","9997","9623","9454","9575","9584","9623","9718","9536","9322",,
